,Nycticebus_coucang,Otolemur_garnettii,Daubentonia_madagascariensis,Propithecus_coquereli,Indri_indri,Cheirogaleus_medius,Microcebus_murinus,Mirza_coquereli,Lemur_catta,Eulemur_fulvus,Eulemur_flavifrons,Pithecia_pithecia,Callicebus_donacophilus,Saguinus_imperator,Callithrix_jacchus,Aotus_nancymaae,Saimiri_boliviensis,Cebus_albifrons,Cebus_capucinus,Alouatta_palliata,Ateles_geoffroyi,Mandrillus_leucophaeus,Cercocebus_atys,Papio_anubis,Macaca_mulatta,Macaca_fascicularis,Macaca_nemestrina,Erythrocebus_patas,Chlorocebus_sabaeus,Cercopithecus_neglectus,Rhinopithecus_roxellana,Rhinopithecus_bieti,Pygathrix_nemaeus,Nasalis_larvatus,Semnopithecus_entellus,Piliocolobus_tephrosceles,Colobus_angolensis,Nomascus_leucogenys,Gorilla_gorilla,Pan_troglodytes,Pan_paniscus,Homo_sapiens,Pongo_abelii,Carlito_syrichta,Galeopterus_variegatus,Tupaia_tana,Tupaia_chinensis,Oryctolagus_cuniculus,Lepus_americanus,Ochotona_princeps,Ctenodactylus_gundi,Petromus_typicus,Thryonomys_swinderianus,Heterocephalus_glaber,Fukomys_damarensis,Dolichotis_patagonum,Hydrochoerus_hydrochaeris,Cavia_tschudii,Cavia_porcellus,Cavia_aperea,Dasyprocta_punctata,Cuniculus_paca,Octodon_degus,Ctenomys_sociabilis,Myocastor_coypus,Capromys_pilorides,Chinchilla_lanigera,Dinomys_branickii,Hystrix_cristata,Rattus_norvegicus,Mus_musculus,Mus_spretus,Mus_caroli,Mus_pahari,Acomys_cahirinus,Meriones_unguiculatus,Psammomys_obesus,Mesocricetus_auratus,Cricetulus_griseus,Microtus_ochrogaster,Ondatra_zibethicus,Ellobius_talpinus,Ellobius_lutescens,Sigmodon_hispidus,Peromyscus_maniculatus,Onychomys_torridus,Cricetomys_gambianus,Nannospalax_galili,Jaculus_jaculus,Allactaga_bullata,Zapus_hudsonius,Perognathus_longimembris,Dipodomys_stephensi,Dipodomys_ordii,Castor_canadensis,Xerus_inauris,Spermophilus_dauricus,Ictidomys_tridecemlineatus,Marmota_marmota,Aplodontia_rufa,Muscardinus_avellanarius,Glis_glis,Graphiurus_murinus,Solenodon_paradoxus,Erinaceus_europaeus,Crocidura_indochinensis,Sorex_araneus,Uropsilus_gracilis,Condylura_cristata,Scalopus_aquaticus,Megaderma_lyra,Craseonycteris_thonglongyai,Hipposideros_armiger,Hipposideros_galeritus,Rhinolophus_sinicus,Macroglossus_sobrinus,Eidolon_helvum,Pteropus_vampyrus,Pteropus_alecto,Rousettus_aegyptiacus,Noctilio_leporinus,Pteronotus_parnellii,Mormoops_blainvillei,Carollia_perspicillata,Artibeus_jamaicensis,Anoura_caudifer,Tonatia_saurophila,Micronycteris_hirsuta,Desmodus_rotundus,Pipistrellus_pipistrellus,Eptesicus_fuscus,Lasiurus_borealis,Murina_feae,Myotis_myotis,Myotis_brandtii,Myotis_lucifugus,Myotis_davidii,Miniopterus_natalensis,Miniopterus_schreibersii,Tadarida_brasiliensis,Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Hippopotamus_amphibius,Eubalaena_japonica,Balaenoptera_bonaerensis,Balaenoptera_acutorostrata,Eschrichtius_robustus,Kogia_breviceps,Platanista_gangetica,Mesoplodon_bidens,Ziphius_cavirostris,Inia_geoffrensis,Lipotes_vexillifer,Neophocaena_asiaeorientalis,Phocoena_phocoena,Delphinapterus_leucas,Monodon_monoceros,Tursiops_truncatus,Orcinus_orca,Tragulus_javanicus,Moschus_moschiferus,Bubalus_bubalis,Bos_taurus,Bos_indicus,Bos_mutus,Bison_bison,Beatragus_hunteri,Ammotragus_lervia,Hemitragus_hylocrius,Capra_hircus,Capra_aegagrus,Ovis_aries,Ovis_canadensis,Pantholops_hodgsonii,Saiga_tatarica,Okapia_johnstoni,Giraffa_tippelskirchi,Antilocapra_americana,Odocoileus_virginianus,Rangifer_tarandus,Elaphurus_davidianus,Catagonus_wagneri,Sus_scrofa,Cryptoprocta_ferox,Mungos_mungo,Suricata_suricatta,Helogale_parvula,Hyaena_hyaena,Paradoxurus_hermaphroditus,Panthera_tigris,Panthera_pardus,Panthera_onca,Felis_catus,Felis_nigripes,Puma_concolor,Acinonyx_jubatus,Lycaon_pictus,Canis_lupus,Canis_lupus_familiaris,Vulpes_lagopus,Pteronura_brasiliensis,Enhydra_lutris,Mustela_putorius,Mellivora_capensis,Ailurus_fulgens,Spilogale_gracilis,Zalophus_californianus,Odobenus_rosmarus,Leptonychotes_weddellii,Mirounga_angustirostris,Neomonachus_schauinslandi,Ailuropoda_melanoleuca,Ursus_maritimus,Manis_javanica,Manis_pentadactyla,Equus_caballus,Equus_przewalskii,Equus_asinus,Tapirus_indicus,Tapirus_terrestris,Dicerorhinus_sumatrensis,Diceros_bicornis,Ceratotherium_simum,Ceratotherium_simum_cottoni,Dasypus_novemcinctus,Tolypeutes_matacus,Chaetophractus_vellerosus,Tamandua_tetradactyla,Myrmecophaga_tridactyla,Choloepus_didactylus,Choloepus_hoffmanni,Trichechus_manatus,Procavia_capensis,Heterohyrax_brucei,Loxodonta_africana,Microgale_talazaci,Echinops_telfairi,Chrysochloris_asiatica,Elephantulus_edwardii,Orycteropus_afer
Nycticebus_coucang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otolemur_garnettii,0.03281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daubentonia_madagascariensis,0.09503,0.08222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propithecus_coquereli,0.11571,0.10290,0.11790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indri_indri,0.11651,0.10370,0.11870,0.04584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheirogaleus_medius,0.08642,0.07361,0.08861,0.06929,0.07009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microcebus_murinus,0.12604,0.11323,0.12823,0.10891,0.10971,0.05962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirza_coquereli,0.12523,0.11242,0.12742,0.10810,0.10890,0.05881,0.04229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemur_catta,0.07642,0.06361,0.07861,0.07929,0.08009,0.05000,0.08962,0.08881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eulemur_fulvus,0.11463,0.10182,0.11682,0.11750,0.11830,0.08821,0.12783,0.12702,0.05821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
